gm_name,n_grams,counts,percent
,каучук прямая,2,0.03575898444484177
,каучуковое artigo,2,0.03575898444484177
,кгтп хл,2,0.03575898444484177
,керамическая клинкерная,5,0.08939746111210442
,керамическая нью,3,0.05363847666726265
,керамическая сан,4,0.07151796888968354
,керамическая фристайл,6,0.1072769533345253
,керамический завод,20,0.3575898444484177
,керамический лицевой,20,0.3575898444484177
,керамической плитки,2,0.03575898444484177
,керамогранита армирующими,2,0.03575898444484177
,кирпич двухцветный,2,0.03575898444484177
,кирпич керамический,18,0.3218308600035759
,кирпич одинарный,2,0.03575898444484177
,кл открытой,2,0.03575898444484177
,клапан обратный,2,0.03575898444484177
,клапан ручной,2,0.03575898444484177
,клей герметик,4,0.07151796888968354
,клей керамической,2,0.03575898444484177
,клей монтажный,2,0.03575898444484177
,клей цементный,2,0.03575898444484177
,клейкая электроизоляционная,6,0.1072769533345253
,клещи зажимные,2,0.03575898444484177
,клинкер тротуарный,3,0.05363847666726265
,клинкерная амстердам,5,0.08939746111210442
,клином тип,3,0.05363847666726265
,ключ ртп,2,0.03575898444484177
,ковер armodies,2,0.03575898444484177
,ковер buhara,2,0.03575898444484177
,ковер matrix,3,0.05363847666726265
,ковер sardes,3,0.05363847666726265
,ковер sofi,7,0.1251564455569462
,ковер sofit,13,0.2324333988914715
,ковер sunrise,5,0.08939746111210442
,коврик грязезащитный,2,0.03575898444484177
,коврик нп,3,0.05363847666726265
,коврик распродажа,2,0.03575898444484177
,коврик хлопковый,2,0.03575898444484177
,ковровая tarkett,2,0.03575898444484177
,ковровых покрытий,2,0.03575898444484177
,ковролина ручное,3,0.05363847666726265
,ковролина толщина,3,0.05363847666726265
,колено канализационное,2,0.03575898444484177
,колено раструбное,3,0.05363847666726265
,колодка трехместная,4,0.07151796888968354
,комб вр,9,0.16091543000178796
,комб нр,6,0.1072769533345253
,комб разъемная,9,0.16091543000178796
,коммерческого линолеума,5,0.08939746111210442
,комплект коробка,2,0.03575898444484177
,компрессионный ролик,3,0.05363847666726265
,кор беж,2,0.03575898444484177
,кор рап,7,0.1251564455569462
,коричневый olecolor,3,0.05363847666726265
,коричневый нф,2,0.03575898444484177
,коричневый рельеф,2,0.03575898444484177
,коронка алмазная,3,0.05363847666726265
,корот штуцер,3,0.05363847666726265
,косой образный,3,0.05363847666726265
,кран шаровый,14,0.2503128911138924
,краска dulux,2,0.03575898444484177
,краска акрил,2,0.03575898444484177
,краска акрилатно,3,0.05363847666726265
,краска вгт,9,0.16091543000178796
,краска интерьерная,4,0.07151796888968354
,краска разметочная,2,0.03575898444484177
,краска стен,5,0.08939746111210442
,краска фасадная,7,0.1251564455569462
,красно коричневый,2,0.03575898444484177
,крепления абразива,4,0.07151796888968354
,крепления падов,3,0.05363847666726265
,кресло автомобиля,6,0.1072769533345253
,крестовина канализационная,4,0.07151796888968354
,круг отрезной,2,0.03575898444484177
,круг шлифовальный,4,0.07151796888968354
,круглых ригеля,2,0.03575898444484177
,крючками крепления,3,0.05363847666726265
,куратор васильково,2,0.03575898444484177
,лак forbo,2,0.03575898444484177
,ламинат kastamonu,2,0.03575898444484177
,ламината паркета,2,0.03575898444484177
,ламината паркетной,2,0.03575898444484177
,ламинате паркете,18,0.3218308600035759
,латексная tikkurila,3,0.05363847666726265
,латунный золотник,2,0.03575898444484177
,латунь матовая,2,0.03575898444484177
,лезвие нп,3,0.05363847666726265
