gm_name,gm_alt_name,gm_synonyms,counts
Поясы для инструмента,ПОЯС ДЛЯ ИНСТРУМЕНТА,,2
Камеры инспекционные,КАМЕРЫ ИНСПЕКЦИОННЫЕ,"ЭЛЕКТРОИНСТРУМЕНТ,ВИДЕОСКОПЫ, ЭНДОСКОПЫ,YLJCRJGS,KTRNHJBYCNHEVTYNS,KTRNHJBYCNHEVTYN,DBLTJCRJGS,ЭЛЕКТРОИНСТРУМЕНТЫ",3
Экструдированный пенополистирол (XPS),ЭКСТРУДИРОВАННЫЙ ПЕНОПОЛИСТИРОЛ XPS,"КАРБОН,ЭКСТРУЗИОННЫЙ ПЕНОПОЛИСТИРОЛ,ЭКСТРУД,ТЕПЛОИЗОЛЯЦИОННАЯ ПЛИТА,ПЕНОПОЛИСТИРОЛ,ПЕНОПОЛИСТЕРОЛ,ЭКСТРУЗИЯ,ПЕНОПЛАСТ",9
Переходник водосточный,ПЕРЕХОДНИК ВОДОСТОЧНЫЙ,ВОДОСТОК,3
Муфты соединительные,МУФТА СОЕДИНИТЕЛЬНАЯ ДЛЯ СВЕТОДИОДНОЙ ЛЕНТЫ,,10
Геотекстиль,ГЕОТЕКСТИЛЬ,"ГЕОТЕКСТИЛЬ,ГЕОТКАНЬ,UTJNTRCNBKM,UTJNRFYM",1
Чашка алмазная,ЧАШКА АЛМАЗНАЯ,"ЧАШКА ШЛИФОВАЛЬНАЯ,ЧАШКА ПО БЕТОНУ",18
Плитка ПВХ,ПЛИТКА ПВХ,"ART VINYL,АРТ ВИНИЛ,ПЛИТКА ПВХ,ВИНИЛОВЫЙ ЛАМИНАТ,КВАРЦВИНИЛ,ПВХ ПЛИТКА",9
Плитка ПВХ,ПЛИТКА ПВХ,"ВИНИЛОВЫЙ ЛАМИНАТ,АРТ ВИНИЛ,КВАРЦВИНИЛ,ART VINYL,ПВХ ПЛИТКА,ПЛИТКА ПВХ",1
Ленточные шлифмашины,ШЛИФМАШИНЫ ЛЕНТОЧНЫЕ,"ЛШМ,ШЛИФМАШИНЫ,ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,KTRNHJBYCNHEVTYNS,KTRNHJBYCNHEVTYN",7
Минеральная вата,МИНЕРАЛЬНАЯ ВАТА,"БАЗАЛЬТОВЫЙ УТЕПЛИТЕЛЬ,ТЕПЛОИЗОЛЯЦИЯ,МИН ПЛИТА,МИНВАТА,СТЕКЛОВАТА,СТЕКЛОВОЛОКНИСТЫЙ",9
Брус обрезной,БРУС ОБРЕЗНОЙ,"БРУС,ППИЛОМАТЕРИАЛ,ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,,HEC,БРУС ОБРЕЗНОЙ",2
Дрели-шуруповерты,ДРЕЛЬ-ШУРУПОВЕРТ,"ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕКТРОИНСТРУМЕНТЫ,KTRNHJBYCNHEVTYNS,KTRNHJBYCNHEVTYN,ШУРОПОВЕРТ",15
Отопительная печь,ОТОПИТЕЛЬНАЯ ПЕЧЬ,"ПЕЧНОЕ ОТОПЛЕНИЕ,ПЕЧЬ ДЛЯ ОТОПЛЕНИЯ,ПЕЧЬ",1
Клей для резиновых и каучуковых покрытий,КЛЕЙ ДЛЯ РЕЗИНОВЫХ И КАУЧУКОВЫХ ПОКРЫТИЙ,"РЕЗИНА,ШУМОИЗОЛЯЦИЯ,КАУЧУК",1
Швеллер,ШВЕЛЛЕР,"ШВЕЛЕР,ШВЕЛЕР МЕТАЛЛ,VTNFKKJGHJRFN,ШВЕЛЛЕР СТАЛЬ,ШВЕЛЛЕР ГОСТ,МЕТАЛЛОПРОКАТ,IDTKTH,IDTKKTH,МЕТАЛОПРОКАТ",5
Блок для троса,БЛОК ДЛЯ ТРОСА,,6
Душевые кабины,ДУШЕВЫЕ КАБИНЫ,"ДУШЕВЫЕ КАБИНЫ,ДУШЕВЫЕ УГОЛКИ,LEITDST RF,BYS,ДУШЕВЫЕ БОКСЫ",1
Ручка для ушм,РУЧКА ДЛЯ УШМ,,1
Вагонка,ВАГОНКА,"ПИЛОМАТЕРИАЛ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛЫ,ППИЛОМАТЕРИАЛЫ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,DFUJYRF,ВАГОНКА",3
ролики для душевой кабины,РОЛИКИ ДЛЯ ДУШЕВОЙ КАБИНЫ,,1
Мешки для мусора,МЕШКИ ДЛЯ МУСОРА,"МЕШОК,МЕШКИ,МЕШЕК,МУСОРНЫЙ МЕШОК",1
Специальные средства,СПЕЦИАЛЬНЫЕ СРЕДСТВА,,40
Швеллер,ШВЕЛЛЕР,"ШВЕЛЕР МЕТАЛЛ,ШВЕЛЕР,ШВЕЛЛЕР СТАЛЬ,ШВЕЛЛЕР ГОСТ,МЕТАЛОПРОКАТ,МЕТАЛЛОПРОКАТ,IDTKTH,VTNFKKJGHJRFN,IDTKKTH",1
карниз потолочный для штор,КАРНИЗ ПОТОЛОЧНЫЙ ДЛЯ ШТОР,,125
Вводы питания,ВВОД ПИТАНИЯ ДЛЯ ШИНОПРОВОДА,,8
Пена монтажная,ПЕНА МОНТАЖНАЯ,"ПЕНА,ПЕНА МОНТ,ПЕНА МОНЬАЖНАЯ,ПЕНА МАНТАЖНАЯ,БАЛЛОН ПЕНЫ,МОНТА,МОНТАЖ,МОНТАЖНАЯПЕНА,МОНТАЖКА,GTYF,PENA MONTAJNAY,VJYNF",1
прищепки,ПРИЩЕПКИ,,4
Фильтр-кувшин,ФИЛЬТР-КУВШИН,"ВОДА ФИЛЬТР,КАРТРИДЖ КУВШИН,КУВШИН ФИЛЬТР ДЛЯ ОЧИСТКИ",4
Канализационные заглушки из ПВХ,КАНАЛИЗАЦИОННЫЕ ЗАГЛУШКИ ИЗ ПВХ,,4
Профили для плитки,ПРОФИЛИ ДЛЯ ПЛИТКИ,"УГОЛОК,УГОЛКИ ПОД ПЛИТКУ,РАСКЛАДКА,ПРОФИЛЬ,ЗАКЛАДКА,ПЛАНКА,ДЛЯ ПЛИТКИ",2
Межкомнатные двери,МЕЖКОМНАТНЫЕ ДВЕРИ,"СБОР ДВЕРИ,БЛОК ДВЕРНОЙ,КОМПЛЕКТ ДВЕРИ,ПОЛОТНО ДВЕРНОЕ",41
Уголок оконный,УГОЛОК ОКОННЫЙ,"УГОЛ РАЗВЕРНУТЫЙ,УГОЛ РАМНЫЙ",6
колпак для трубы,КОЛПАК ДЛЯ ТРУБЫ,,5
Минеральная вата,МИНЕРАЛЬНАЯ ВАТА,"БАЗАЛЬТОВЫЙ УТЕПЛИТЕЛЬ,СТЕКЛОВОЛОКНИСТЫЙ,СТЕКЛОВАТА,МИНВАТА,МИН ПЛИТА,ТЕПЛОИЗОЛЯЦИЯ",1
Проволока для газонокосилок,ПРОВОЛОКА ДЛЯ ГАЗОНОКОСИЛОК,,1
