gm_name,gm_alt_name,gm_synonyms,counts
Бетономешалки,БЕТОНОМЕШАЛКИ,"РАСТВОРОСМЕСИТЕЛЬ,БЕТОНОСМЕСИТЕЛЬ,БЕТОНЬЕРКА,БЕТОНКА,МЕШАЛКА",3
Электрические реноваторы,ЭЛЕКТРИЧЕСКИЙ РЕНОВАТОР,"ОСЦИЛЛЯЦИОННЫЙ ШЛИФ/ИНСТРУМЕНТ,УНИВЕРСАЛЬНЫЙ РЕЗАК,МУЛЬТИТУЛ,МУЛЬТИМАСТЕР,ВИБРОМАШИНКА,ЭЛЕКТРОИНСТРУМЕНТЫ,ВИБРОГРЫЗ",8
Потолки клеевые,ПОТОЛКИ КЛЕЕВЫЕ,"ПЛИТЫ ПОТОЛОЧНЫЕ,ПОТОЛОК КЛЕЕВОЙ",44
развальцовка,РАЗВАЛЬЦОВКА,,1
Переходники для МП труб,ПЕРЕХОДНИКИ ДЛЯ МП ТРУБ,"ПЕРЕХОД НА РЕЗЬБУ ДЛЯ МЕТАЛЛОПЛАСТИКА,ПЕРХОДНАЯ МУФТА,ЦАНГА-РЕЗЬБА,ПРЕСС-РЕЗЬБА",9
Эксцентриковые шлифмашины,ШЛИФМАШИНЫ ЭКСЦЕНТРИКОВЫЕ,"ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕКТРОИНСТРУМЕНТЫ,KTRNHJBYCNHEVTYNS,KTRNHJBYCNHEVTYN",4
Электрод сварочный,ЭЛЕКТРОД СВАРОЧНЫЙ,"ЭЛЕКТРОДЫ,ЭЛЕКТРОДЬ,ЕЛЕКРОДЫ,KTRNHJLS,ЭЛЕКРОДЬ,ЭЛЕКТРОД,ОК-46",7
Профили для гипсокартона,ПРОФИЛЬ ДЛЯ ГИПСОКАРТОНА,"GHJABKM LKZ UBGCJRFHNJYF,ПРОФЕЛЬ,ОЦИНКОВАННЫЙ ПРОФИЛЬ,МЕТАЛЛИЧЕСКИЙ ПРОФИЛЬ,ГИПСОКАРТОНОВЫЙ ПРОФИЛЬ,КАРКАС",6
Гипс,ГИПС,"ГИПС,АЛЕБАСТР",19
Вибрационные насосы,ВИБРАЦИОННЫЕ НАСОСЫ,"ДАЧНЫЙ,ПОГРУЖНОЙ,СКВАЖЕННЫЙ,КОЛОДЕЗНЫЙ",15
Полипропиленовые угольники,ПОЛИПРОПИЛЕНОВЫЕ УГОЛЬНИКИ,"ПОЛИПРОПИЛЕНОВОЕ КОЛЕНО,ВОДОРОЗЕТКА ПП,ПП УГОЛЬНИКИ,ПП УГОЛ,ПП ОТВОД,ПП КОЛЕНО,ПОЛИПРОПИЛЕНОВЫЙ УГОЛ,ПОЛИПРОПИЛЕНОВЫЙ ОТВОД",24
Бусы,БУСЫ,,13
Панели потолочные,ПАНЕЛИ ПОТОЛОЧНЫЕ,"ПАНЕЛЬ ДЛЯ ПОТОЛКА,ПЕЧЕНЮШКА,ПАНЕЛЬ ПВХ,ПОДВЕСНОЙ ПОТОЛОК,ПОТОЛОК,ШАШКИ",4
Брус обрезной,БРУС ОБРЕЗНОЙ,",HEC,БРУС,БРУС ОБРЕЗНОЙ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛЫ,ППИЛОМАТЕРИАЛ",2
Паркет штучный,ПАРКЕТ ШТУЧНЫЙ,,12
Ванны,ВАННЫ,"СТАЛЬНЫЕ ВАННЫ,АКРИЛОВЫЕ ВАННЫ,АКРИЛ,ЧУГУННЫЕ ВАННЫ,ВАННА АКРИЛОВАЯ,ВАННА",1
Дифференциальные автоматы,ДИФФЕРЕНЦИАЛЬНЫЙ АВТОМАТ,"ДИФАТОМАТ,АВТОМАТИЧЕСКИЙ ВЫКЛЮЧАТЕЛЬ ДИФФЕРЕНЦИАЛЬНОГО ТОКА,АВДТ",14
Входные двери,ВХОДНЫЕ ДВЕРИ,,60
Направляющая шина для бензопилы,НАПРАВЛЯЮЩАЯ ШИНА,,10
Переходники для ПНД труб,ПЕРЕХОДНИКИ ДЛЯ ПНД ТРУБ,"ПОЛИПРОПИЛЕНОВАЯ МУФТА,ПЕРЕХОД НА РЕЗЬБУ,МУФТА ПЕРЕХОДНАЯ,КОМПРЕССИОННАЯ МУФТА,КОМБИНИРОВАННАЯ МУФТА",1
Металлочерепица,МЕТАЛЛОЧЕРЕПИЦА,,307
Болгарки (УШМ),ШЛИФМАШИНА УГЛОВАЯ ЭЛЕКТРИЧЕСКАЯ,"ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,БОЛГАРКА,УГЛОШЛИФОВАЛЬНАЯ МАШИНА,УГЛОВАЯ ШЛИФОВАЛЬНАЯ МАШИНА,KTRNHJBYCNHEVTYNS",1
Вентилятор,ВЕНТИЛЯТОР,,112
Катанка,КАТАНКА,"АРМАТУРА,ПРОВОЛОКА,МЕТАЛОПРОКАТ,МЕТАЛЛОПРОКАТ,VTNFKKJGHJRFN",2
Стяжка эксцентриковая,СТЯЖКА ЭКСЦЕНТРИКОВАЯ,МИНИФИКС,5
Сетка сварная,СЕТКА СВАРНАЯ,"СЕТКА РУЛОН,КЛАДОЧНАЯ СЕТКА,СЕТКА МЕТАЛЛИЧЕСКАЯ,СЕТКА КАРТА,СЕТКА ИЗ ПРОВОЛОКИ,СЕТКА ДОРОЖНАЯ,СЕТКА АРМАТУРНАЯ",5
Электрозаклепочники,ЭЛЕКТРОЗАКЛЕПОЧНИКИ,,1
Спанбонд,СПАНБОНД,"УКРЫВНОЙ МАТЕРИАЛ,НЕТКАННЫЙ МАТЕРИАЛ",38
Строительные сетки,СТРОИТЕЛЬНЫЕ СЕТКИ,"СЕТКА МАЛЯРНАЯ,СЕТКА СТЕКЛОТКАНЕВАЯ,СЕТКА ФАСАДНАЯ,СЕТКА ШТУКАТУРНАЯ,СЕТКА СТЕКЛЯННАЯ,СТЕКЛОСЕТКА",1
Пена монтажная,ПЕНА МОНТАЖНАЯ,"МОНТАЖ,МОНТА,БАЛЛОН ПЕНЫ,МОНТАЖКА,МОНТАЖНАЯПЕНА,ПЕНА,ПЕНА МОНТ,ПЕНА МОНЬАЖНАЯ,ПЕНА МАНТАЖНАЯ,VJYNF,PENA MONTAJNAY,GTYF",5
Розетты декоративные,РОЗЕТТЫ ДЕКОРАТИВНЫЕ,"ЗАГЛУШКА,ЭЛЕМЕНТ ПРИМЫКАНИЯ,ПЛАСТИКОВАЯ НАКЛАДКА,ОБВОД ДЛЯ ТРУБ,КРУЖОК",25
Ванны,ВАННЫ,"АКРИЛ,ЧУГУННЫЕ ВАННЫ,СТАЛЬНЫЕ ВАННЫ,АКРИЛОВЫЕ ВАННЫ,ВАННА,ВАННА АКРИЛОВАЯ",3
Пленка солнцезащитная,ПЛЕНКА СОЛНЦЕЗАЩИТНАЯ,,5
Кладочные и монтажные смеси,КЛАДОЧНЫЕ И МОНТАЖНЫЕ СМЕСИ,"МОНТАЖНЫЙ СОСТАВ,МОНТАЖНАЯ СМЕСЬ,БЛОЧНЫЙ КЛЕЙ,КЛЕЙ ДЛЯ БЛОКОВ,ГИПСОБЕТОН,КЛАДОЧНАЯ СМЕСЬ,КЛАДОЧНЫЙ РАСТВОР,КЛАДОЧНЫЙ СОСТАВ",1
Габионы,ГАБИОНЫ,,3
Блоки управления генераторами,БЛОКИ УПРАВЛЕНИЯ ГЕНЕРАТОРАМИ,,9
Швеллер,ШВЕЛЛЕР,"VTNFKKJGHJRFN,IDTKKTH,IDTKTH,ШВЕЛЕР,МЕТАЛЛОПРОКАТ,МЕТАЛОПРОКАТ,ШВЕЛЛЕР ГОСТ,ШВЕЛЛЕР СТАЛЬ,ШВЕЛЕР МЕТАЛЛ",1
комплект патрубков раздельной системы дымоудаления,КОМПЛЕКТ ПАТРУБКОВ РАЗДЕЛЬНОЙ СИСТЕМЫ ДЫМОУДАЛЕНИЯ,,1
Круг отрезной,КРУГ ОТРЕЗНОЙ,"RHEU GJ VTNFKE,RHEU GJ VTNNFKRE,ДИСК,ДИСК ОТРЕЗНОЙ,КРУГ ПО МЕТАЛУ,КРУГ ПО МЕТАЛЛУ",136
Рабочее колесо насоса,РАБОЧЕЕ КОЛЕСО НАСОСА,ЗАПЧАСТИ ДЛЯ НАСОСА,6
Муфты для ПНД труб,МУФТЫ ДЛЯ ПНД ТРУБ,"МУФТА ПОЛИПРОПИЛЕНОВАЯ,МУФТА КОМПРЕССИОННАЯ,МУФТА СОЕДИНИТЕЛЬНАЯ,МУФТА ЦАНГА-ЦАНГА",1
Щиты мебельные,ЩИТЫ МЕБЕЛЬНЫЕ,"ППИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ЩИТЫ МЕБЕЛЬНЫЕ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ",2
Электрические краскопульты,ЭЛЕКТРИЧЕСКИЙ КРАСКОПУЛЬТ,"ЭЛЕКТРОИНСТРУМЕНТ,KTRNHJBYCNHEVTYNS,КРАСКОРАСПЫЛИТЕЛЬ,ЭЛЕКТРОИНСТРУМЕНТЫ,КРАСКОПУЛЬТ,RHFCRJGEKMN,KTRNHJBYCNHEVTYN",1
Водяные конвекторы,ВОДЯНЫЕ КОНВЕКТОРЫ,,405
Решетка грязезащитная,РЕШЕТКА ГРЯЗЕЗАЩИТНАЯ,"РОККО,СИТИТОП",7
Муфты для МП труб,МУФТЫ ДЛЯ МП ТРУБ,"МУФТЫ ДЛЯ МЕТАЛЛОПЛАСТИКА,ОБЖИМНЫЕ МУФТЫ,ПРЕСС-МУФТЫ,ПРЕСС-ФИТИНГ,ЦАНГА-ЦАНГА,РЕДУКЦИОННЫЕ МУФТЫ,СОЕДИНИТЕЛЬНЫЕ МУФТЫ",3
Вентиляционные каналы,ВЕНТИЛЯЦИОННЫЕ КАНАЛЫ,"ВЕНТИЛЯЦИЯ,КОМПЛЕКТ ВЕНТИЛЯЦИИ,КОМПЛЕКТ ВОЗДУХОВОДА",55
держатель желоба карнизный,ДЕРЖАТЕЛЬ ЖЕЛОБА КАРНИЗНЫЙ,,2
Зеркала для ванной,ЗЕРКАЛА ДЛЯ ВАННОЙ,"ЗЕРКАЛЬНЫЙ ШКАФ,ШКАФ ЗЕРКАЛЬНЫЙ,ЗЕРКАЛЬНЫЕ ШКАФЫ ДЛЯ ВАННОЙ,ЗЕРКАЛА ДЛЯ ВАННОЙ,ЗЕРКАЛА",101
Декоративные штукатурки,ШТУКАТУРКА ДЕКОРАТИВНАЯ,"ДЕКОРАТИВКА,КАМЕШКОВАЯ,КОРОЕД,ШТУКАТУРКА ЗЕРНИСТАЯ,БАРАШЕК,ШУБА",9
Средство для удаления цемента,СРЕДСТВО ДЛЯ УДАЛЕНИЯ ЦЕМЕНТА,,6
Клипсы для дюралайта,КЛИПСЫ ДЛЯ ДЮРАЛАЙТА,,1
Клеи для теплоизоляции,КЛЕЙ ДЛЯ ТЕПЛОИЗОЛЯЦИИ,"КЛЕЙ ДЛЯ УТЕПЛИТЕЛЯ,СМЕСИ ДЛЯ ТЕПЛОИЗОЛЯЦИИ,СМЕСИ ДЛЯ УТЕПЛИТЕЛЯ,КЛЕЙ ДЛЯ ПЕНОПОЛИСТЕРОЛА",6
Электрод сварочный,ЭЛЕКТРОД СВАРОЧНЫЙ,"ЭЛЕКТРОДЬ,ЭЛЕКТРОДЫ,ЕЛЕКРОДЫ,ЭЛЕКТРОД,ЭЛЕКРОДЬ,KTRNHJLS,ОК-46",1
Клеи для теплоизоляции,КЛЕЙ ДЛЯ ТЕПЛОИЗОЛЯЦИИ,"КЛЕЙ ДЛЯ ПЕНОПОЛИСТЕРОЛА,СМЕСИ ДЛЯ ТЕПЛОИЗОЛЯЦИИ,КЛЕЙ ДЛЯ УТЕПЛИТЕЛЯ,СМЕСИ ДЛЯ УТЕПЛИТЕЛЯ",2
Декоративные наклейки,ДЕКОРАТИВНЫЕ НАКЛЕЙКИ,"НАКЛЕЙКИ,НАКЛЕЙКИ НА СТЕНУ",31
Муфты для ПНД труб,МУФТЫ ДЛЯ ПНД ТРУБ,"МУФТА КОМПРЕССИОННАЯ,МУФТА ПОЛИПРОПИЛЕНОВАЯ,МУФТА СОЕДИНИТЕЛЬНАЯ,МУФТА ЦАНГА-ЦАНГА",9
Коврик прикроватный,КОВРИК ПРИКРОВАТНЫЙ,,2
Профили для плитки,ПРОФИЛИ ДЛЯ ПЛИТКИ,"ЗАКЛАДКА,ПЛАНКА,ПРОФИЛЬ,ДЛЯ ПЛИТКИ,РАСКЛАДКА,УГОЛКИ ПОД ПЛИТКУ,УГОЛОК",1
Электрические дрели,ЭЛЕКТРИЧЕСКАЯ ДРЕЛЬ,"KTRNHJBYCNHEVTYN,ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,KTRNHJBYCNHEVTYNS",2
Мраморная крошка,МРАМОРНАЯ КРОШКА,"АНТИГОЛОЛЕДНЫЙ,РЕАГЕНТ,ПРОТИВОГОЛОЛЕДНЫЙ,ДОРОЖНЫЙ,СОЛЬ,АНТИЛЕД,ГАЛИТ,ДЛЯ ЛЬДА,ДОРОЖНАЯ",1
Аккумуляторные дисковые пилы,АККУМУЛЯТОРНАЯ ДИСКОВАЯ ПИЛА,"KTRNHJBYCNHEVTYN,KTRNHJBYCNHEVTYNS,GBKF,LBCRJDFZ GBKF,ПИЛА,KTRNHJBYCNHEVTYN,KTRNHJBYCNHEVTYNS,ДИСКОВАЯ ПИЛА",4
Установочный набор для дюралайта,УСТАНОВОЧНЫЙ НАБОР ДЛЯ ДЮРАЛАЙТА,,2
Гидрофобизатор,ГИДРОФОБИЗАТОР,"ПРОПИТКА ДЛЯ КИРПИЧА,СРЕДСТВО ДЛЯ ШВОВ,ПРОПИТКА ВОДООТТАЛКИВАЮЩАЯ,ЗАЩИТА ОТ ВЫСОЛОВ",2
Прямошлифовальные машины,ШЛИФМАШИНЫ ПРЯМЫЕ,"ПРЯМАЯ ШЛИФМАШИНА,ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,ШЛИФМАШИНЫ ПРЯМЫЕ,KTRNHJBYCNHEVTYN,KTRNHJBYCNHEVTYNS",7
Дюбель для кабеля,ДЮБЕЛЬ ДЛЯ КАБЕЛЯ,"ДЮБЕЛЬ-ХОМУТ, ДЮБЕЛЬ ДЛЯ БАНДАЖА",17
Заглушки для розеток,ЗАГЛУШКА ДЛЯ РОЗЕТКИ,,3
Бруски для шлифования,БРУСОК ДЛЯ ШЛИФОВАНИЯ,,2
Кримперы,КРИМПЕРЫ,"ОБЖИМ ДЛЯ КЛЕММ,ЭЛЕКТРОПАССАТИЖИ,ОБЖИМНОЙ ИНСТРУМЕНТ,КЛЕЩИ ОБЖИМНЫЕ",1
Полки металлические,ПОЛКИ МЕТАЛЛИЧЕСКИЕ,"ПОЛКА КОРЗИНА,ПОЛКА РЕШЕТКА",56
Экструдированный пенополистирол (XPS),ЭКСТРУДИРОВАННЫЙ ПЕНОПОЛИСТИРОЛ XPS,"ПЕНОПЛАСТ,ПЕНОПОЛИСТЕРОЛ,ПЕНОПОЛИСТИРОЛ,КАРБОН,ЭКСТРУЗИЯ,ТЕПЛОИЗОЛЯЦИОННАЯ ПЛИТА,ЭКСТРУД,ЭКСТРУЗИОННЫЙ ПЕНОПОЛИСТИРОЛ",1
Пропитка защитная для дерева,ПРОПИТКА ЗАЩИТНАЯ ДЛЯ ДЕРЕВА,"БИОЗАЩИТА,ОГНЕЗАЩИТА,ДЕРЕВОЗАЩИТА,ДВЗ",17
Подкладочный ковер,ПОДКЛАДОЧНЫЙ КОВЕР,,31
мочалка для тела,МОЧАЛКА ДЛЯ ТЕЛА,,3
Электрические гайковерты,ЭЛЕКТРИЧЕСКИЙ ГАЙКОВЕРТ,"UFQRJDTHN,KTRNHJBYCNHEVTYNS,KTRNHJBYCNHEVTYN,ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ",1
Перфораторы,ЭЛЕКТРИЧЕСКИЙ ПЕРФОРАТОР,"ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,KTRNHJBYCNHEVTYNS,KTRNHJBYCNHEVTYN,ПЕРФОРАТОР",7
Энергосберегающие лампы,ЭНЕРГОСБЕРЕГАЮЩАЯ ЛАМПА,"ИСТОЧНИК СВЕТА,ЛАМПОЧКА",50
Трубы профильные,ТРУБЫ ПРОФИЛЬНЫЕ,"МЕТАЛЛОПРОКАТ,МЕТАЛОПРОКАТ,ТРУБА ПРОФИЛЬНАЯ,VTNFKKJGHJRFN,NHE,F GHJABKMYFZ",2
Паркетная доска,ПАРКЕТНАЯ ДОСКА,"ПАРКЕТ,ШТУЧНЫЙ ПАРКЕТ,ПАРКЕТНАЯ ДОСКА,ПОЛ",8
Болгарки (УШМ),ШЛИФМАШИНА УГЛОВАЯ ЭЛЕКТРИЧЕСКАЯ,"ЭЛЕКТРОИНСТРУМЕНТЫ,БОЛГАРКА,KTRNHJBYCNHEVTYNS,УГЛОВАЯ ШЛИФОВАЛЬНАЯ МАШИНА,УГЛОШЛИФОВАЛЬНАЯ МАШИНА,ЭЛЕКТРОИНСТРУМЕНТ",4
Кримперы,КРИМПЕРЫ,"КЛЕЩИ ОБЖИМНЫЕ,ЭЛЕКТРОПАССАТИЖИ,ОБЖИМ ДЛЯ КЛЕММ,ОБЖИМНОЙ ИНСТРУМЕНТ",1
Садовые тенты-шатры,САДОВЫЕ ТЕНТЫ-ШАТРЫ,"ПАВИЛЬОН,БЕСЕДКА,ПАЛАТКА,ТЕНТ,ШАТЕР",1
Газонокосилки механические,ГАЗОНОКОСИЛКИ МЕХАНИЧЕСКИЕ,"РУЧНАЯ,ШПИНДЕЛЬНАЯ,БАРАБАННАЯ",1
Гипсокартон,ГИПСОКАРТОННЫЙ ЛИСТ,"ГКЛО,ПОДВЕСНОЙ,ПОТОЛОК,ПОТОЛОЧНЫЙ,UBGCJRFHNJY,ГИПСАКАРТОН,UBGHJR,ПЕРЕГОРОДКА,12,5ММ,ГКЛВО,ГКЛВ,ГКЛ,ГИПРОК,ГИПСОПЛИТА",1
Брусок сухой,БРУСОК СУХОЙ,"БРУС,ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ,ППИЛОМАТЕРИАЛЫ,БРУСОК,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛЫ БРУС,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,РЕЙКА",1
Полипропиленовые трубы,ПОЛИПРОПИЛЕНОВЫЕ ТРУБЫ,ПП ТРУБА,334
переходники для триммера,ПЕРЕХОДНИКИ ДЛЯ ТРИММЕРА,,3
Электропилы,ПИЛА ЦЕПНАЯ ЭЛЕКТРИЧЕСКАЯ,"KTRNHJBYCNHEVTYN,ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕТРОПИЛА,ЭЛЕКТРОПИЛЫ,ЭЛЕКТРИЧЕСКИЕ ЦЕПНЫЕ ПИЛЫ,WTGYFZ GBKF,KTRNHJGBKF,ЦЕПНАЯ ПИЛА",2
Влаговпитывающие дорожки,ДОРОЖКИ ВЛАГОВПИТЫВАЮЩИЕ,"ГРЯЗЕЗАЩИТА,ДОРОЖКА,КОВРИК ВЛАГОВПИТЫВАЮЩИЙ,ПРИДВЕРНЫЙ,РУЛОННОЕ ПОКРЫТИЕ",11
Гипсокартон,ГИПСОКАРТОННЫЙ ЛИСТ,"ПЕРЕГОРОДКА,ПОДВЕСНОЙ,ПОТОЛОК,ПОТОЛОЧНЫЙ,ГИПСАКАРТОН,ГКЛО,ГКЛВО,ГКЛВ,ГКЛ,ГИПСОПЛИТА,ГИПРОК,UBGHJR,UBGCJRFHNJY,12,5ММ",2
Датчики открытия,ДАТЧИК ОТКРЫТИЯ,,2
Профили для плитки,ПРОФИЛИ ДЛЯ ПЛИТКИ,"ЗАКЛАДКА,ПЛАНКА,ДЛЯ ПЛИТКИ,ПРОФИЛЬ,РАСКЛАДКА,УГОЛКИ ПОД ПЛИТКУ,УГОЛОК",1
Замки накладные,ЗАМКИ НАКЛАДНЫЕ,,18
Мембраны,МЕМБРАНЫ,"ВЕТРОЗАЩИТА,ГИДРОИЗОЛЯЦИЯ,КРОВЕЛЬНАЯ,СТРОИТЕЛЬНАЯ,ПЛЕНКА,ПАРОИЗОЛЯЦИЯ",13
Жидкая теплоизоляция,ЖИДКАЯ ТЕПЛОИЗОЛЯЦИЯ,,19
Полипропиленовые угольники,ПОЛИПРОПИЛЕНОВЫЕ УГОЛЬНИКИ,"ПОЛИПРОПИЛЕНОВОЕ КОЛЕНО,ПОЛИПРОПИЛЕНОВЫЙ ОТВОД,ВОДОРОЗЕТКА ПП,ПП УГОЛЬНИКИ,ПП УГОЛ,ПП ОТВОД,ПП КОЛЕНО,ПОЛИПРОПИЛЕНОВЫЙ УГОЛ",1
Брус обрезной,БРУС ОБРЕЗНОЙ,"БРУС,,HEC,БРУС ОБРЕЗНОЙ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ППИЛОМАТЕРИАЛ,ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛ",3
Стяжные ремни,СТЯЖНЫЕ РЕМНИ,"РЭТЧЕТ, РЕТЧЕТ, СТЯЖНАЯ ЛЕНТА, РЕМЕННАЯ СТЯЖКА, СТ",4
пеногаситель,ПЕНОГАСИТЕЛЬ,,1
Клей для текстильных и ПВХ покрытий,КЛЕЙ ДЛЯ ТЕКСТИЛЬНЫХ И ПВХ ПОКРЫТИЙ,,7
Балка,БАЛКА,",FKRF,VTNFKKJGHJRFN,МЕТАЛЛОПРОКАТ,БАЛКА МЕТАЛЛИЧЕСКАЯ,БАЛКА,БАЛКА МЕТАЛЛ,МЕТАЛОПРОКАТ",1
Салфетки и губки,САЛФЕТКИ И ГУБКИ,,43
Профили для плитки,ПРОФИЛИ ДЛЯ ПЛИТКИ,"УГОЛОК,ДЛЯ ПЛИТКИ,УГОЛКИ ПОД ПЛИТКУ,ЗАКЛАДКА,ПЛАНКА,ПРОФИЛЬ,РАСКЛАДКА",5
Полипропиленовые муфты,ПОЛИПРОПИЛЕНОВЫЕ МУФТЫ,"МУФТА СОЕДИНИТЕЛЬНАЯ,ПОЛИПРОПИЛЕН,МУФТА ПЕРЕХОДНАЯ,МУФТА ПП",1
Кладочные и монтажные смеси,КЛАДОЧНЫЕ И МОНТАЖНЫЕ СМЕСИ,"БЛОЧНЫЙ КЛЕЙ,ГИПСОБЕТОН,КЛАДОЧНАЯ СМЕСЬ,КЛЕЙ ДЛЯ БЛОКОВ,КЛАДОЧНЫЙ СОСТАВ,КЛАДОЧНЫЙ РАСТВОР,МОНТАЖНЫЙ СОСТАВ,МОНТАЖНАЯ СМЕСЬ",3
Доска профильная,ДОСКА ПРОФИЛЬНАЯ,"ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛЫ,ППИЛОМАТЕРИАЛЫ,ДОСКА",25
Цементно-песчаные смеси,ЦЕМЕНТНО-ПЕСЧАНАЯ СМЕСЬ,"WTVTYNYJ-GTCXFYST,WTVTYNYJGTCXFYFZ,ПЕСКОБЕТОН,ПЕСЧАНАЯ СМЕСЬ,СУХАЯ ЦЕМЕНТНАЯ СМЕСЬ,ЦЕМЕНТНОПЕСЧАНАЯ СМЕСЬ,ЦПС СТЯЖКА,ЦПС",5
анод магниевый,АНОД МАГНИЕВЫЙ,,9
Панель стеновая,ПАНЕЛЬ СТЕНОВАЯ,"СТЕНОВАЯ ПАНЕЛЬ,П-25,ПЛАСТИКОВАЯ ПАНЕЛЬ,ПАНЕЛЬ П-25,П25",3
Газонокосилки механические,ГАЗОНОКОСИЛКИ МЕХАНИЧЕСКИЕ,"БАРАБАННАЯ,РУЧНАЯ,ШПИНДЕЛЬНАЯ",8
Насос для установки химических анкеров,НАСОС ДЛЯ УСТАНОВКИ ХИМИЧЕСКИХ АНКЕРОВ,,1
заглушка для спирально-навивного воздуховода,ЗАГЛУШКА ДЛЯ СПИРАЛЬНО-НАВИВНОГО ВОЗДУХОВОДА,,3
Плиты покрытий коллекторов,ПЛИТЫ ПОКРЫТИЙ КОЛЛЕКТОРОВ,,1
Браслеты магнитные,БРАСЛЕТ МАГНИТНЫЙ,,2
Болгарки (УШМ),ШЛИФМАШИНА УГЛОВАЯ ЭЛЕКТРИЧЕСКАЯ,"KTRNHJBYCNHEVTYNS,УГЛОВАЯ ШЛИФОВАЛЬНАЯ МАШИНА,УГЛОШЛИФОВАЛЬНАЯ МАШИНА,ЭЛЕКТРОИНСТРУМЕНТ,БОЛГАРКА,ЭЛЕКТРОИНСТРУМЕНТЫ",3
Акустический гипсокартон,АКУСТИЧЕСКИЙ ГИПСОКАРТОН,"ПЕРФОРИРОВАННЫЙ ГИПСОКАРТОН,ППГЗ",4
Пылесосы строительные,ПЫЛЕСОСЫ СТРОИТЕЛЬНЫЕ,"ЭЛЕКТРОИНСТРУМЕНТ,ПЫЛЕСОС,ЭЛЕКТРОИНСТРУМЕНТЫ,GSKTCJCS,GSKTCJC,ПЫЛЕСОСЫ,KTRNHJBYCNHEVTYNS,KTRNHJBYCNHEVTYN",1
подкладка под стеклопакет,ПОДКЛАДКА ПОД СТЕКЛОПАКЕТ,,6
Дверь для кухонных шкафов,ДВЕРЬ ДЛЯ КУХОННЫХ ШКАФОВ,,5
Дюбель для теплоизоляции,ДЮБЕЛЬ ДЛЯ ТЕПЛОИЗОЛЯЦИИ,"ДЮПЕЛЬ,ДЮБЕЛЬ-ЗОНТ,РОНДОЛЬ,ЗОНТИК",2
Сетка сварная,СЕТКА СВАРНАЯ,"СЕТКА КАРТА,СЕТКА ИЗ ПРОВОЛОКИ,СЕТКА ДОРОЖНАЯ,СЕТКА АРМАТУРНАЯ,СЕТКА МЕТАЛЛИЧЕСКАЯ,СЕТКА РУЛОН,КЛАДОЧНАЯ СЕТКА",11
Квадрат,КВАДРАТ,"VTNFKKJGHJRFN,КВАДРАТ СТАЛЬНОЙ,МЕТАЛЛОПРОКАТ,МЕТАЛОПРОКАТ,КВАДРАТ",6
Сжимы ответвительные,СЖИМ ОТВЕТВИТЕЛЬНЫЙ,"ОРЕШКИ,ОРЕХИ,ОРЕХ,ЗАЖИМ ОТВЕТВИТЕЛЬНЫЙ,ЗАЖИМ ЭЛЕКТРИЧЕСКИЙ,ЗАЖИМ",1
Канаты,КАНАТЫ,,5
Профили для гипсокартона,ПРОФИЛЬ ДЛЯ ГИПСОКАРТОНА,"GHJABKM LKZ UBGCJRFHNJYF,ПРОФЕЛЬ,ОЦИНКОВАННЫЙ ПРОФИЛЬ,МЕТАЛЛИЧЕСКИЙ ПРОФИЛЬ,КАРКАС,ГИПСОКАРТОНОВЫЙ ПРОФИЛЬ",22
Вибрационные насосы,ВИБРАЦИОННЫЕ НАСОСЫ,"ДАЧНЫЙ,КОЛОДЕЗНЫЙ,СКВАЖЕННЫЙ,ПОГРУЖНОЙ",8
